Country, Year, PayGap
Albania,2018,6.8
Austria,2014,22.2
Austria,2015,21.8
Austria,2016,20.8
Austria,2017,20.7
Austria,2018,20.4
Austria,2019,20.0
Austria,2020,19.2
Austria,2021,19.1
Austria,2022,18.7
Austria,2023,18.3
Belgium,2014,6.6
Belgium,2015,6.4
Belgium,2016,6.0
Belgium,2017,5.8
Belgium,2018,5.8
Belgium,2019,4.7
Belgium,2020,3.2
Belgium,2021,1.8
Belgium,2022,0.7
Belgium,2023,0.7
Bulgaria,2014,14.2
Bulgaria,2015,15.5
Bulgaria,2016,14.6
Bulgaria,2017,14.3
Bulgaria,2018,13.9
Bulgaria,2019,14.0
Bulgaria,2020,12.5
Bulgaria,2021,11.9
Bulgaria,2022,12.6
Bulgaria,2023,13.5
Switzerland,2014,17.4
Switzerland,2015,17.9
Switzerland,2016,17.4
Switzerland,2017,17.6
Switzerland,2018,18.6
Switzerland,2019,18.4
Switzerland,2020,18.0
Switzerland,2021,17.0
Switzerland,2022,17.0
Switzerland,2023,17.2
Cyprus,2014,14.2
Cyprus,2015,13.2
Cyprus,2016,12.3
Cyprus,2017,11.2
Cyprus,2018,10.4
Cyprus,2019,10.5
Cyprus,2020,9.9
Cyprus,2021,11.0
Cyprus,2022,11.9
Cyprus,2023,12.2
Czechia,2014,22.5
Czechia,2015,22.5
Czechia,2016,21.5
Czechia,2017,21.1
Czechia,2018,20.1
Czechia,2019,19.3
Czechia,2020,16.7
Czechia,2021,15.4
Czechia,2022,18.4
Czechia,2023,18
Germany,2014,22.3
Germany,2015,21.8
Germany,2016,21.1
Germany,2017,20.4
Germany,2018,20.1
Germany,2019,19.2
Germany,2020,18.3
Germany,2021,17.6
Germany,2022,17.7
Germany,2023,17.6
Denmark,2014,16.0
Denmark,2015,15.1
Denmark,2016,15.1
Denmark,2017,14.8
Denmark,2018,14.6
Denmark,2019,17.7
Denmark,2020,13.8
Denmark,2021,14.2
Denmark,2022,13.8
Denmark,2023,14
Estonia,2014,28.1
Estonia,2015,26.7
Estonia,2016,24.8
Estonia,2017,24.9
Estonia,2018,21.8
Estonia,2019,21.6
Estonia,2020,21.0
Estonia,2021,20.3
Estonia,2022,21.1
Estonia,2023,16.9
Greece,2014,12.5
Greece,2018,10.4
Greece,2022,13.5
Greece,2023,13.6
Spain,2014,14.9
Spain,2015,14.1
Spain,2016,14.8
Spain,2017,13.5
Spain,2018,11.9
Spain,2019,9.6
Spain,2020,9.3
Spain,2021,9.3
Spain,2022,9.2
Spain,2023,9.2
Finland,2014,18.4
Finland,2015,17.5
Finland,2016,17.5
Finland,2017,17.1
Finland,2018,16.9
Finland,2019,16.7
Finland,2020,16.9
Finland,2021,16.9
Finland,2022,16.0
Finland,2023,16.8
France,2014,15.5
France,2015,15.6
France,2016,15.9
France,2017,16.3
France,2018,16.7
France,2019,16.0
France,2020,15.0
France,2021,13.7
France,2022,12.8
France,2023,12.2
Croatia,2014,8.7
Croatia,2016,11.6
Croatia,2017,12.3
Croatia,2018,11.4
Croatia,2019,10.2
Croatia,2020,8.7
Croatia,2021,7.3
Croatia,2022,7.7
Croatia,2023,7.4
Hungary,2014,15.1
Hungary,2015,14.0
Hungary,2016,14.0
Hungary,2017,15.9
Hungary,2018,14.2
Hungary,2019,18.2
Hungary,2020,17.1
Hungary,2021,17.2
Hungary,2022,17.5
Hungary,2023,17.8
Ireland,2014,13.9
Ireland,2015,13.9
Ireland,2016,14.2
Ireland,2017,14.4
Ireland,2018,11.3
Ireland,2019,10.3
Ireland,2020,9.0
Ireland,2021,9.9
Ireland,2022,9.3
Ireland,2023,8.6
Iceland,2014,16.7
Iceland,2015,17.5
Iceland,2016,15.8
Iceland,2017,15.3
Iceland,2018,13.8
Iceland,2019,14.1
Iceland,2020,12.0
Iceland,2021,10.2
Iceland,2022,9.0
Iceland,2023,9.8
Italy,2014,6.1
Italy,2015,5.5
Italy,2016,5.3
Italy,2017,5
Italy,2018,5.5
Italy,2019,4.6
Italy,2020,4.0
Italy,2021,4.7
Italy,2022,3.8
Italy,2023,2.2
Lithuania,2014,13.3
Lithuania,2015,14.2
Lithuania,2016,14.4
Lithuania,2017,15.2
Lithuania,2018,14.0
Lithuania,2019,12.9
Lithuania,2020,12.3
Lithuania,2021,10.9
Lithuania,2022,10.5
Lithuania,2023,11.5
Luxembourg,2014,5.4
Luxembourg,2015,4.7
Luxembourg,2016,3.9
Luxembourg,2017,2.6
Luxembourg,2018,1.4
Luxembourg,2019,0.9
Luxembourg,2020,0.3
Luxembourg,2021,-0.2
Luxembourg,2022,-0.7
Luxembourg,2023,-0.9
Latvia,2014,17.3
Latvia,2015,18.4
Latvia,2016,19.7
Latvia,2017,19.8
Latvia,2018,19.6
Latvia,2019,21.6
Latvia,2020,23.2
Latvia,2021,15.9
Latvia,2022,18.9
Latvia,2023,19
Montenegro,2014,7.7
North Macedonia,2014,9.1
Malta,2014,10.6
Malta,2015,10.7
Malta,2016,11.6
Malta,2017,13.2
Malta,2018,13.0
Malta,2019,10.5
Malta,2020,7.9
Malta,2021,7.2
Malta,2022,5.8
Malta,2023,5.1
Netherlands,2014,17.0
Netherlands,2015,16.1
Netherlands,2016,15.6
Netherlands,2017,15.1
Netherlands,2018,14.7
Netherlands,2019,14.9
Netherlands,2020,14.7
Netherlands,2021,14.3
Netherlands,2022,14.0
Netherlands,2023,12.5
Norway,2014,14.5
Norway,2015,16.0
Norway,2016,14.5
Norway,2017,13.7
Norway,2018,13.2
Norway,2019,13.3
Norway,2020,13.6
Norway,2021,13.4
Norway,2022,13.7
Norway,2023,12.8
Poland,2014,7.7
Poland,2015,7.3
Poland,2016,7.1
Poland,2017,7.0
Poland,2018,8.5
Poland,2019,6.5
Poland,2020,4.5
Poland,2021,6.2
Poland,2022,7.8
Poland,2023,7.8
