eu_election_circle_fr,region_no,city_name,people_no,REG,total_co,fem_executive_sa,fem_manager_sa,fem_employee_sa,fem_worker_sa,avg_male_sa,male_executive_sa,male_manager_sa,male_employee_sa,male_worker_sa,fem_executive_sa_mean,fem_manager_sa_mean,fem_employee_sa_mean,fem_worker_sa_mean,avg_male_sa_mean,male_executive_sa_mean,male_manager_sa_mean,male_employee_sa_mean,male_worker_sa_mean,fem_executive_sa_min,fem_executive_sa_max,fem_executive_sa_median,fem_manager_sa_min,fem_manager_sa_max,fem_manager_sa_median,fem_employee_sa_min,fem_employee_sa_max,fem_employee_sa_median,fem_worker_sa_min,fem_worker_sa_max,fem_worker_sa_median,avg_male_sa_min,avg_male_sa_max,avg_male_sa_median,male_executive_sa_min,male_executive_sa_max,male_executive_sa_median,male_manager_sa_min,male_manager_sa_max,male_manager_sa_median,male_employee_sa_min,male_employee_sa_max,male_employee_sa_median,male_worker_sa_min,male_worker_sa_max,male_worker_sa_median
Sud-Est,82,Attignat,3329.0,82.0,116.0,19.0,13.0,10.3,9.9,13.8,23.0,14.7,13.2,11.6,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Bourg-en-Bresse,38488.0,82.0,3103.0,20.1,13.1,10.0,8.6,13.1,24.2,14.3,10.7,10.7,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Ceyzériat,2886.0,82.0,188.0,21.1,13.4,10.4,9.1,15.2,26.9,15.1,11.4,11.2,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Marboz,2069.0,82.0,130.0,19.3,13.2,10.1,7.9,13.8,24.6,14.7,11.7,11.1,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Montrevel-en-Bresse,2296.0,82.0,185.0,19.8,13.2,9.9,9.4,12.8,21.4,15.1,10.8,11.4,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Péronnas,5762.0,82.0,420.0,22.3,13.1,10.5,9.6,14.4,23.9,15.5,11.5,11.5,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Polliat,2450.0,82.0,123.0,18.1,13.6,10.1,9.7,14.2,26.3,14.5,11.9,11.6,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Pont-d'Ain,2602.0,82.0,206.0,17.5,13.3,10.2,9.7,13.8,23.1,15.3,10.5,11.3,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Saint-Denis-lès-Bourg,5515.0,82.0,295.0,21.5,13.6,10.5,9.8,15.1,23.7,15.3,12.1,11.8,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
Sud-Est,82,Treffort-Cuisiat,0.0,82.0,122.0,19.2,13.4,10.1,9.1,13.7,25.3,14.6,11.9,10.7,20,13,10,10,15,25,16,11,12,12,36,20,11,19,13,9,16,10,6,28,10,10,52,14,14,58,25,12,93,15,8,24,11,9,53,11
