CODGEO;LIBGEO;REG;DEP;E14A17;DE14A17;C114A17;C214A17;C314A17;C414A17;C514A17;FZ14A17;GZ14A17;HZ14A17;IZ14A17;JZ14A17;KZ14A17;LZ14A17;MN14A17;OQ14A17;RU14A17;;
01001;L'Abergement-Clémenciat;82;01;25;0;1;0;0;0;1;4;7;0;2;0;1;1;2;3;3;;
01002;L'Abergement-de-Varey;82;01;10;0;0;0;0;0;2;1;2;0;1;0;0;0;1;2;1;;
01004;Ambérieu-en-Bugey;82;01;996;12;14;0;5;1;27;92;268;28;49;12;57;49;110;188;84;;
01005;Ambérieux-en-Dombes;82;01;99;2;2;0;0;0;3;18;19;1;11;1;2;5;16;9;10;;
01006;Ambléon;82;01;4;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;;
01007;Ambronay;82;01;124;3;1;0;0;1;8;17;20;10;6;4;0;4;23;18;9;;
01008;Ambutrix;82;01;48;0;0;0;0;0;0;10;14;4;1;0;1;0;4;8;6;;
01009;Andert-et-Condon;82;01;22;0;1;0;0;0;3;1;4;3;1;0;2;1;3;1;2;;
01010;Anglefort;82;01;33;0;2;0;0;0;2;11;5;0;2;0;0;1;5;3;2;;
01011;Apremont;82;01;14;0;0;0;0;0;0;3;2;2;1;0;0;0;2;3;1;;
01012;Aranc;82;01;12;1;1;0;0;0;2;3;0;0;3;0;0;0;2;0;0;;
01013;Arandas;82;01;9;0;0;0;0;0;0;0;2;0;1;0;0;0;4;0;2;;
01014;Arbent;82;01;314;1;1;0;3;1;63;24;103;5;12;3;25;16;28;16;13;;
01015;Arbignieu;82;01;24;2;0;0;0;0;3;7;4;0;1;0;0;0;4;1;2;;
01016;Arbigny;82;01;9;0;0;0;0;0;2;1;1;1;2;0;0;0;2;0;0;;
01017;Argis;82;01;13;0;0;0;0;0;1;3;2;0;0;1;0;2;3;0;1;;
01019;Armix;82;01;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;
01021;Ars-sur-Formans;82;01;67;0;2;0;0;0;0;11;13;5;10;2;1;2;7;7;7;;
01022;Artemare;82;01;101;1;6;0;0;0;9;13;20;2;6;2;3;4;6;22;7;;
01023;Asnières-sur-Saône;82;01;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;
01024;Attignat;82;01;116;2;3;0;0;2;5;22;19;8;6;1;0;2;12;22;12;;
01025;Bâgé-la-Ville;82;01;101;1;3;0;0;0;6;26;23;1;1;1;5;3;16;9;6;;
01026;Bâgé-le-Châtel;82;01;49;1;2;0;0;0;1;5;9;2;4;0;4;0;4;10;7;;
01027;Balan;82;01;109;3;1;0;2;0;12;13;25;4;8;2;4;5;15;6;9;;
01028;Baneins;82;01;31;0;0;0;0;0;3;9;5;1;3;0;0;2;5;2;1;;
01029;Beaupont;82;01;25;0;1;0;1;0;2;6;4;1;3;1;2;0;0;1;3;;
01030;Beauregard;82;01;45;1;1;0;0;0;1;3;15;2;4;1;1;3;6;2;5;;
01031;Bellignat;82;01;252;4;1;0;2;1;66;20;50;7;6;5;23;6;26;20;15;;
