Country,Year,PayGap,YearString,Region
Austria,2014-01-01,22.2,2014,Rest of EU
Belgium,2014-01-01,6.6,2014,Rest of EU
Bulgaria,2014-01-01,14.2,2014,Rest of EU
Switzerland,2014-01-01,17.4,2014,Rest of EU
Cyprus,2014-01-01,14.2,2014,Rest of EU
Czechia,2014-01-01,22.5,2014,Rest of EU
Germany,2014-01-01,22.3,2014,Rest of EU
Denmark,2014-01-01,16.0,2014,Rest of EU
Estonia,2014-01-01,28.1,2014,Rest of EU
Greece,2014-01-01,12.5,2014,Rest of EU
Spain,2014-01-01,14.9,2014,Rest of EU
Finland,2014-01-01,18.4,2014,Rest of EU
France,2014-01-01,15.5,2014,France
Croatia,2014-01-01,8.7,2014,Rest of EU
Hungary,2014-01-01,15.1,2014,Rest of EU
Ireland,2014-01-01,13.9,2014,Rest of EU
Iceland,2014-01-01,16.7,2014,Rest of EU
Italy,2014-01-01,6.1,2014,Rest of EU
Lithuania,2014-01-01,13.3,2014,Rest of EU
Luxembourg,2014-01-01,5.4,2014,Rest of EU
Latvia,2014-01-01,17.3,2014,Rest of EU
Montenegro,2014-01-01,7.7,2014,Rest of EU
North Macedonia,2014-01-01,9.1,2014,Rest of EU
Malta,2014-01-01,10.6,2014,Rest of EU
Netherlands,2014-01-01,17.0,2014,Rest of EU
Norway,2014-01-01,14.5,2014,Rest of EU
Poland,2014-01-01,7.7,2014,Rest of EU
Portugal,2014-01-01,14.9,2014,Rest of EU
Romania,2014-01-01,4.5,2014,Rest of EU
Serbia,2014-01-01,8.7,2014,Rest of EU
Sweden,2014-01-01,13.8,2014,Rest of EU
Slovenia,2014-01-01,7.0,2014,Rest of EU
Slovakia,2014-01-01,19.7,2014,Rest of EU
Türkiye,2014-01-01,-1.3,2014,Rest of EU
United Kingdom,2014-01-01,20.9,2014,Rest of EU
