city_id,city_name,region_no,dep_no,total_se_co,public_edu_health_social,other,technology,manufacturing,consumer,finance_re,construction_industry,eu_election_circle_fr,people_no,avg_pay_gap,executive_pay_gap,manager_pay_gap,worker_pay_gap,employee_pay_gap,executive_pay_gap_label,manager_pay_gap_label,worker_pay_gap_label,employee_pay_gap_label,technology_pct,consumer_pct,finance_re_pct,construction_industry_pct,public_edu_health_social_pct,manufacturing_pct,technology_pct_label,consumer_pct_label,public_edu_health_social_pct_label,finance_re_pct_label,construction_industry_pct_label,manufacturing_pct_label
01004,Ambérieu-en-Bugey,82,01,996,188,84,122,33,331,106,104,Sud-Est,13460,22.666666666666668,27.651515151515145,20.95808383233533,17.24137931034483,8.181818181818185,high pay gap,high pay gap,high pay gap,low pay gap,13.800904977375566,37.44343891402715,11.990950226244344,11.76470588235294,21.266968325791854,3.733031674208145,low proportion,high proportion,high proportion,high proportion,low proportion,low proportion
01007,Ambronay,82,01,124,18,9,27,9,27,4,20,Sud-Est,2563,19.04761904761904,18.4549356223176,15.822784810126581,14.529914529914526,6.194690265486734,high pay gap,medium pay gap,medium pay gap,low pay gap,25.71428571428571,25.71428571428571,3.8095238095238098,19.047619047619047,17.142857142857142,8.571428571428571,high proportion,low proportion,medium proportion,low proportion,medium proportion,high proportion
01014,Arbent,82,01,314,16,13,31,67,116,41,25,Sud-Est,3281,28.758169934640527,35.430463576158935,31.976744186046513,19.491525423728817,12.90322580645161,high pay gap,high pay gap,high pay gap,medium pay gap,10.472972972972974,39.189189189189186,13.85135135135135,8.445945945945946,5.405405405405405,22.635135135135133,low proportion,high proportion,low proportion,high proportion,low proportion,high proportion
01024,Attignat,82,01,116,22,12,13,7,28,2,24,Sud-Est,3329,17.39130434782609,17.391304347826086,11.564625850340132,14.655172413793096,21.96969696969696,high pay gap,medium pay gap,medium pay gap,high pay gap,13.541666666666666,29.166666666666668,2.083333333333333,25.0,22.916666666666664,7.291666666666667,low proportion,low proportion,high proportion,low proportion,high proportion,high proportion
01025,Bâgé-la-Ville,82,01,101,9,6,17,6,27,8,27,Sud-Est,3142,15.942028985507253,19.502074688796693,5.55555555555556,14.035087719298241,12.820512820512823,high pay gap,low pay gap,medium pay gap,medium pay gap,18.085106382978726,28.723404255319153,8.51063829787234,28.723404255319153,9.574468085106384,6.382978723404255,medium proportion,low proportion,low proportion,medium proportion,high proportion,medium proportion
01027,Balan,82,01,109,6,9,17,14,34,9,16,Sud-Est,1714,17.76315789473684,12.121212121212123,11.949685534591197,10.25641025641025,9.917355371900822,medium pay gap,medium pay gap,medium pay gap,medium pay gap,17.708333333333336,35.41666666666667,9.375,16.666666666666664,6.25,14.583333333333334,medium proportion,medium proportion,low proportion,medium proportion,medium proportion,high proportion
01031,Bellignat,82,01,252,20,15,31,69,57,29,24,Sud-Est,3532,18.656716417910445,17.857142857142858,14.492753623188406,13.888888888888888,3.703703703703707,high pay gap,medium pay gap,medium pay gap,low pay gap,13.478260869565217,24.782608695652176,12.608695652173912,10.434782608695652,8.695652173913043,30.0,low proportion,low proportion,low proportion,high proportion,low proportion,high proportion
01032,Béligneux,82,01,177,22,10,30,25,41,18,27,Sud-Est,3187,19.480519480519483,15.983606557377044,14.723926380368098,11.206896551724128,9.322033898305095,medium pay gap,medium pay gap,medium pay gap,medium pay gap,18.404907975460123,25.153374233128833,11.042944785276074,16.56441717791411,13.496932515337424,15.337423312883436,medium proportion,low proportion,low proportion,high proportion,medium proportion,high proportion
01033,Bellegarde-sur-Valserine,82,01,655,85,55,95,20,210,73,101,Sud-Est,11401,16.260162601626014,2.3474178403755865,13.380281690140835,18.181818181818183,6.66666666666666,low pay gap,medium pay gap,high pay gap,low pay gap,16.267123287671232,35.95890410958904,12.5,17.294520547945204,14.554794520547945,3.4246575342465753,medium proportion,medium proportion,medium proportion,high proportion,medium proportion,low proportion
01034,Belley,82,01,708,122,77,104,40,216,67,77,Sud-Est,8442,16.666666666666664,10.416666666666668,12.751677852348994,12.84403669724771,14.655172413793096,medium pay gap,medium pay gap,medium pay gap,medium pay gap,16.61341853035144,34.504792332268366,10.702875399361023,12.300319488817891,19.488817891373802,6.3897763578274756,medium proportion,medium proportion,high proportion,high proportion,low proportion,medium proportion
01043,Beynost,82,01,480,41,31,81,29,180,38,67,Sud-Est,4455,24.1025641025641,25.986842105263154,14.117647058823533,20.161290322580644,8.730158730158728,high pay gap,medium pay gap,high pay gap,medium pay gap,18.577981651376145,41.284403669724774,8.715596330275229,15.36697247706422,9.403669724770642,6.651376146788992,medium proportion,high proportion,low proportion,medium proportion,medium proportion,high proportion
01049,La Boisse,82,01,195,27,16,29,16,50,10,38,Sud-Est,2722,22.41379310344827,12.452830188679249,13.529411764705888,15.000000000000005,13.492063492063485,medium pay gap,medium pay gap,medium pay gap,medium pay gap,17.058823529411764,29.411764705882355,5.88235294117647,22.35294117647059,15.88235294117647,9.411764705882353,medium proportion,low proportion,medium proportion,low proportion,high proportion,high proportion
01053,Bourg-en-Bresse,82,01,3103,511,252,552,73,1080,325,252,Sud-Est,38488,12.977099236641216,16.942148760330568,8.391608391608399,19.62616822429906,6.542056074766349,medium pay gap,low pay gap,high pay gap,low pay gap,19.763694951664874,38.66809881847476,11.636233440744718,9.022556390977442,18.295739348370926,2.613677049767275,high proportion,high proportion,high proportion,high proportion,low proportion,low proportion
01071,Cessy,82,01,181,22,24,25,9,51,16,31,Sud-Est,4735,17.006802721088434,32.98969072164949,17.006802721088434,-10.169491525423723,-1.8867924528301987,high pay gap,medium pay gap,negative pay gap,negative pay gap,16.233766233766232,33.116883116883116,10.38961038961039,20.12987012987013,14.285714285714285,5.844155844155844,medium proportion,medium proportion,medium proportion,medium proportion,medium proportion,medium proportion
01072,Ceyzériat,82,01,188,26,11,34,11,49,22,30,Sud-Est,2886,18.42105263157894,21.561338289962816,11.258278145695359,18.749999999999996,8.771929824561402,high pay gap,medium pay gap,high pay gap,medium pay gap,19.767441860465116,28.488372093023255,12.790697674418606,17.441860465116278,15.11627906976744,6.395348837209303,high proportion,low proportion,medium proportion,high proportion,medium proportion,medium proportion
01074,Chalamont,82,01,155,21,17,21,9,42,12,26,Sud-Est,2380,23.841059602649004,29.209621993127143,20.51282051282051,10.61946902654868,12.173913043478263,high pay gap,high pay gap,medium pay gap,medium pay gap,16.030534351145036,32.06106870229007,9.16030534351145,19.84732824427481,16.030534351145036,6.870229007633588,medium proportion,medium proportion,medium proportion,medium proportion,medium proportion,high proportion
01091,Châtillon-en-Michaille,82,01,193,18,13,28,9,62,14,44,Sud-Est,3255,24.137931034482758,22.007722007722005,15.131578947368416,24.16666666666667,10.526315789473694,high pay gap,medium pay gap,high pay gap,medium pay gap,16.0,35.42857142857142,8.0,25.142857142857146,10.285714285714285,5.142857142857142,medium proportion,medium proportion,low proportion,low proportion,high proportion,medium proportion
01093,Châtillon-sur-Chalaronne,82,01,388,54,40,49,20,131,39,49,Sud-Est,4611,18.881118881118887,19.838056680161937,13.513513513513512,5.217391304347823,7.339449541284409,high pay gap,medium pay gap,low pay gap,low pay gap,14.327485380116958,38.30409356725146,11.403508771929824,14.327485380116958,15.789473684210526,5.847953216374268,low proportion,high proportion,medium proportion,high proportion,medium proportion,medium proportion
01109,Collonges,82,01,75,14,10,10,2,20,4,13,Sud-Est,2166,22.22222222222223,13.419913419913426,19.999999999999996,31.386861313868607,-4.1666666666666705,medium pay gap,high pay gap,high pay gap,negative pay gap,15.873015873015872,31.746031746031743,6.349206349206349,20.634920634920633,22.22222222222222,3.1746031746031744,medium proportion,medium proportion,high proportion,low proportion,high proportion,low proportion
01138,Culoz,82,01,176,29,16,25,11,40,15,35,Sud-Est,2798,22.22222222222222,17.04035874439462,16.551724137931036,17.796610169491537,8.411214953271015,medium pay gap,medium pay gap,high pay gap,low pay gap,16.129032258064516,25.806451612903224,9.67741935483871,22.58064516129032,18.70967741935484,7.096774193548387,medium proportion,low proportion,high proportion,medium proportion,high proportion,high proportion
01142,Dagneux,82,01,272,25,20,57,26,80,18,36,Sud-Est,4354,15.789473684210517,11.814345991561185,6.493506493506493,12.5,13.821138211382122,medium pay gap,low pay gap,medium pay gap,medium pay gap,23.553719008264462,33.057851239669425,7.43801652892562,14.87603305785124,10.330578512396695,10.743801652892563,high proportion,medium proportion,low proportion,low proportion,medium proportion,high proportion
